"review_id","rating","review","review_date"
9334216105,1,"Item did not fit, very disappointed.",2023-02-03
9127876394,1,"Not as advertised, very disappointed.",2014-06-17
5109595661,1,"Cheap materials, do not recommend.",2020-06-04
7754409049,1,"Not worth the price, very disappointed.",2023-04-17
4043134279,1,"Not worth the price, very disappointed.",2014-05-31
6536884137,1,"Waste of money, very disappointed.",2018-03-22
4875385554,1,"Item never arrived, terrible experience.",2010-04-04
6879113478,1,"Product arrived damaged, do not recommend.",2013-09-15
2000896329,1,"Item never arrived, terrible experience.",2017-11-29
4431341876,1,"Received wrong color, very disappointed.",2016-06-23
4844169692,1,"Horrible quality, fell apart after one use.",2016-04-20
1407331403,1,"Product did not work as intended, very disappointed.",2013-10-01
4489188698,1,"Misleading description, not what I expected.",2012-08-24
4240468756,1,"Waste of money, very disappointed.",2011-02-05
9592587182,1,"Worst purchase ever, do not recommend.",2020-10-09
6926264030,1,"Defective product, would not buy again.",2019-04-12
7088739271,1,"Poorly packaged, arrived damaged.",2012-12-08
7162873382,1,"Not as advertised, very disappointed.",2022-03-15
8099996144,1,"Low-quality item, waste of money.",2010-02-01
6670907916,1,"Poor quality, not durable at all.",2020-02-26
1401962878,1,"Disappointed with purchase, regret buying.",2017-02-10
9394406815,1,"Cheaply made, fell apart quickly.",2011-11-06
9222448598,1,"Misleading description, not what I expected.",2023-09-05
5555797150,1,"Received wrong color, very disappointed.",2021-09-02
1611159197,1,"Faulty product, wasted my money.",2017-08-19
2373589190,1,"Received wrong size, frustrating experience.",2015-04-27
5685964372,1,"Broken upon arrival, terrible experience.",2021-09-08
3659705906,1,"Item fell apart after a few uses.",2013-06-02
8460717929,1,"Poor quality, broke after a few uses.",2012-08-24
7182293451,1,"Item arrived late, poor service.",2016-01-25
6287787829,1,"Not durable at all, fell apart.",2017-06-26
6904358142,1,"Item arrived broken, terrible experience.",2014-04-22
6436121413,1,"Product arrived incomplete, very disappointed.",2023-09-02
3654363466,1,"Broken upon arrival, terrible experience.",2013-06-04
3552658741,1,"Item never arrived, very frustrating.",2013-09-12
7719859142,1,"Low-quality item, waste of money.",2013-11-09
6472473676,1,"Product did not work, very disappointed.",2020-06-01
3460433693,1,"Cheap materials, not worth the price.",2012-08-24
7877840344,1,"Cheaply made, not durable at all.",2020-02-05
7051385897,1,"Product arrived damaged, do not recommend.",2011-03-08
3947943815,1,"Product did not work as intended, very disappointed.",2015-02-12
7347329388,1,"Received damaged item, very disappointed.",2013-11-10
9227823180,1,"Extremely disappointed, do not recommend.",2010-12-08
7623137528,1,"Cheap material, fell apart quickly.",2014-06-01
5951625132,1,"Did not meet expectations, very unhappy.",2022-10-10
3844601332,1,"Unusable product, complete waste of money.",2020-06-29
5163368871,1,"Item arrived broken, very disappointed.",2017-07-30
6399656647,1,"Product did not work, total disappointment.",2021-07-06
6443979252,1,"Not durable at all, fell apart.",2012-11-28
1721840006,1,"Poorly made, fell apart immediately.",2017-04-06
9023502075,1,"Item did not match description, very disappointed.",2022-03-13
8190606654,1,"Item broke after one use, very disappointed.",2010-07-02
7771070489,1,"Item arrived broken, very disappointed.",2013-06-02
9675950776,1,"Product arrived incomplete, very disappointed.",2014-10-28
1027005554,1,"Disappointed with purchase, regret buying.",2010-11-29
8603534901,1,"Dissatisfied with purchase, regret buying.",2011-09-16
3003440394,1,"Misleading description, very disappointed.",2012-07-11
4258131225,1,"Misleading description, not what I expected.",2016-12-31
5573837779,1,"Product did not work, very disappointed.",2010-01-17
3878819384,1,"Misleading description, not what I expected.",2016-05-12
1308863332,1,"Cheaply made, fell apart quickly.",2014-07-14
5720348288,1,"Item arrived late and damaged.",2022-02-16
5335454064,1,"Extremely disappointed, do not recommend.",2011-10-13
8001373468,1,"Defective product, would not buy again.",2014-07-26
5330255316,1,"Dissatisfied with purchase, regret buying.",2019-08-17
5532493011,1,"Received damaged item, very disappointed.",2023-10-29
8884324061,1,"Poorly made, fell apart immediately.",2016-04-10
6748353601,1,"Poor quality, not durable at all.",2013-10-30
2349811736,1,"Cheaply made, not durable at all.",2012-12-05
2781276305,1,"Unusable product, complete waste of money.",2020-02-10
6261655173,1,"Worst purchase ever, do not recommend.",2018-07-05
3212178366,1,"Product did not work, total disappointment.",2016-03-28
5234652468,1,"Regret purchasing, poor craftsmanship.",2021-05-25
6123138960,1,"Terrible product, broke after one use.",2018-01-22
2560398000,1,"Horrible quality, fell apart immediately.",2010-12-20
5371277847,1,"Cheap materials, do not recommend.",2022-10-23
2811830722,1,"Cheap material, fell apart quickly.",2015-09-07
7249613476,1,"Not worth the price, cheaply made.",2012-05-30
5171863484,1,"Received wrong size, frustrating experience.",2013-03-31
6895734505,1,"Horrible quality, fell apart immediately.",2016-11-06
9220520303,1,"Not as described, very disappointed.",2022-10-28
9530043670,1,"Item broke after one use, very disappointed.",2011-10-14
8218942243,1,"Misleading description, very disappointed.",2020-07-19
6219123065,1,"Did not meet expectations, very unhappy.",2015-12-12
3054948650,1,"Received wrong item, frustrating experience.",2011-07-06
5093546571,1,"Item did not match description, very disappointed.",2016-10-07
9575400989,1,"Disappointed with purchase, regret buying.",2022-11-21
1464616622,1,"Item arrived broken, terrible experience.",2016-07-20
5987177074,1,NA,2014-05-23
4142658655,1,NA,2011-04-26
4043345065,1,NA,2023-08-16
6797330323,1,NA,2020-10-29
6311292380,1,NA,2020-03-22
6004891582,1,NA,2014-05-18
6283229938,1,NA,2010-11-14
8775590410,1,NA,2010-08-22
2835778433,1,NA,2022-08-04
8790743241,1,NA,2012-03-05
8207939535,1,NA,2011-12-21
4013285441,1,NA,2023-08-22
6382016174,1,NA,2023-12-19
6588344155,1,NA,2011-09-26
9750466256,1,NA,2015-06-19
2300951147,1,NA,2023-04-23
4174127941,1,NA,2023-06-16
7595102280,1,NA,2011-07-01
9983598341,1,NA,2010-08-03
5364373046,1,NA,2015-11-18
8598977914,1,NA,2022-06-09
9186402403,1,NA,2015-06-12
5078482819,1,NA,2013-07-20
9668811541,1,NA,2011-02-24
4773878295,1,NA,2014-01-28
7797821646,1,NA,2013-03-15
1747293994,1,NA,2015-07-21
7999644348,2,"Not as described, somewhat disappointed.",2022-04-04
